Sl. No.,Kharif Crop-wise,2021-22 - Cost,2021-22 - MSP,2021-22 - Difference (MSP-Cost),2022-23 - Cost,2022-23 - MSP,2022-23 - Difference (MSP-Cost),2023-24 - Cost,2023-24 - MSP,2023-24 - Difference (MSP-Cost),2024-25 - Cost,2024-25 - MSP,2024-25 - Difference (MSP-Cost)
1.i,Paddy (Common),1293,1940,647,1360,2040,680,1455,2183,728,1533,2300,767
1.ii,Paddy (Grade A),NA,1960,NA,NA,2060,NA,NA,2203,NA,NA,2320,NA
2.i,Jowar (Hybrid),1825,2738,913,1977,2970,993,2120,3180,1060,2247,3371,1124
2.ii,jowar (Maldandi),NA,2758,NA,NA,2990,NA,NA,3225,NA,NA,3421,NA
3,Bajra,1213,2250,1037,1268,2350,1082,1371,2500,1129,1485,2625,1140
4,Ragi,2251,3377,1126,2385,3578,1193,2564,3846,1282,2860,4290,1430
5,Maize,1246,1870,624,1308,1962,654,1394,2090,696,1447,2225,778
6,Arhar (Tur),3886,6300,2414,4131,6600,2469,4444,7000,2556,4761,7550,2789
7,Moong,4850,7275,2425,5167,7755,2588,5705,8558,2853,5788,8682,2894
8,Urad,3816,6300,2484,4155,6600,2445,4592,6950,2358,4883,7400,2517
9.i,Cotton (Medium Staple),3817,5726,1909,4053,6080,2027,4411,6620,2209,4747,7121,2374
9.ii,Cotton (Long Staple),NA,6025,NA,NA,6380,NA,NA,7020,NA,NA,7521,NA
10,Groundnut,3699,5550,1851,3873,5850,1977,4251,6377,2126,4522,6783,2261
11,Sunflower Seed,4010,6015,2005,4113,6400,2287,4505,6760,2255,4853,7280,2427
12,Soyabean,2633,3950,1317,2805,4300,1495,3029,4600,1571,3261,4892,1631
13,Sesamum,4871,7307,2436,5220,7830,2610,5755,8635,2880,6178,9267,3089
14,Nigerseed,4620,6930,2310,4858,7287,2429,5156,7734,2578,5811,8717,2906
